TIME_PERIOD,REF_AREA,Mean_Annual_Wages
1994,KOR,28392.0539025617
1994,LUX,58789.5218922642
1994,MEX,18396.5039254632
1994,NLD,60622.7858127489
1994,NOR,31772.7398540603
1994,NZL,35919.8727108115
1994,OECD,41288.9193250155
1994,SVK,11728.8130571289
1994,SWE,31342.3677701236
1994,USA,52930.6401770043
1995,AUS,43715
1995,AUT,55184
1995,BEL,56759
1995,CAN,42369
1995,CHE,58316
1995,CHL,17383
1995,COL,16614
1995,CRI,16716
1995,CZE,16612
1995,DEU,49414
1995,DNK,48894
1995,ESP,43146
1995,EST,10186
1995,FIN,39377
1995,FRA,41318
1995,GBR,38995
1995,GRC,22800
1995,HUN,16319
1995,IRL,33634
1995,ISL,44521
1995,ISR,30896
1995,ITA,43059
1995,JPN,41013
1995,KOR,31180
1995,LTU,12117
1995,LUX,58750
1995,LVA,11340
1995,MEX,15150
1995,NLD,59444
1995,NOR,32069
1995,NZL,35759
1995,OECD,41424
1995,POL,18619
1995,PRT,27425
1995,SVK,12627
1995,SVN,28385
1995,SWE,31398
1995,TUR,21432
1995,USA,53231
1996,AUS,44976.27559367
1996,AUT,54819.6165178154
1996,BEL,57470.5568655042
1996,CAN,42745.0912504135
1996,CHE,57610.9163833236
1996,CHL,17383.3611751847
1996,CRI,16870.6148698035
1996,CZE,18320.9899572178
1996,DEU,49981.5714478053
1996,DNK,49781.4447609201
1996,ESP,43730.4093326735
1996,EST,10838.1982116394
1996,FIN,40279.3766434974
1996,FRA,41440.2926728736
1996,GBR,38948.9742789404
1996,GRC,23037.0019385448
1996,HUN,16325.1487138736
1996,IRL,34125.7156399135
1996,ISL,45932.1431727219
1996,ISR,33565.3578312234
1996,ITA,43400.6986175188
1996,JPN,41183.8992482469
1996,KOR,32649.1687560192
1996,LTU,13516.2335258381
1996,LUX,59509.5259578914
1996,LVA,11340.2036311277
1996,MEX,14273.1781911485
1996,NLD,59246.8735841286
1996,NOR,33026.3921208112
1996,NZL,36347.0971221824
1996,OECD,41850.8826679115
1996,POL,20106.3327638048
1996,PRT,28439.8086954218
1996,SVK,13654.0219746311
1996,SVN,29779.7037525963
1996,SWE,33276.0425053875
1996,USA,54009.3671068034
1997,AUS,46355.5550944577
1997,AUT,54346.9450542579
1997,BEL,58203.3751399722
1997,CAN,44053.7666057661
1997,CHE,58645.7856884014
1997,CHL,18600.4342546912
1997,CRI,16856.2202389535
1997,CZE,18606.9390451609
1997,DEU,49770.3659795712
1997,DNK,50577.4470700282
1997,ESP,43777.2864232103
1997,EST,11838.4147296476
1997,FIN,40313.6913531232
1997,FRA,41903.0054017408
1997,GBR,40373.2137242484
1997,GRC,25629.7454984439
1997,HUN,16727.9991823116
1997,IRL,36047.5490927048
1997,ISL,47880.3143403956
1997,ISR,34604.638200669
1997,ITA,44646.6967622974
1997,JPN,41509.9979165693
1997,KOR,31983.0060153773
1997,LTU,14934.6157939284
1997,LUX,60632.4719436166
1997,LVA,11875.0016501753
1997,MEX,14980.2274332447
1997,NLD,59431.6600769879
1997,NOR,33755.7572398348
1997,NZL,37379.9433961294
1997,OECD,42591.9222788892
1997,POL,21137.096347856
1997,PRT,29179.2122491863
1997,SVK,15504.4441366861
1997,SVN,31404.4207554124
1997,SWE,34584.4610832439
1997,USA,55357.4737805542
1998,AUS,46999.635104298
1998,AUT,56101.1425172093
1998,BEL,58238.2834007068
1998,CAN,44793.2060093325
1998,CHE,58814.0643868852
1998,CHL,19515.2073858431
1998,CRI,17093.3904802522
1998,CZE,18603.8261309658
1998,DEU,50379.9693201234
1998,DNK,51462.3353698433
1998,ESP,44011.3171352774
1998,EST,12637.1418221907
1998,FIN,41377.9275913195
1998,FRA,42550.4547074187
1998,GBR,40920.7347410214
1998,GRC,27749.3980110295
1998,HUN,17103.6877120513
1998,IRL,36168.1761562976
1998,ISL,52841.0559200505
1998,ISR,35944.7197098266
1998,ITA,44793.692430885
1998,JPN,41335.4659899742
1998,KOR,31652.6439210576
1998,LTU,16311.0354328698
1998,LUX,60777.3335076188
1998,LVA,12234.5245222342
1998,MEX,15803.6849250497
1998,NLD,57528.8982346873
1998,NOR,34997.5179060068
1998,NZL,36766.0249442613
1998,OECD,43558.0868355759
1998,POL,21767.8813004271
1998,PRT,29544.2883954391
1998,SVK,16114.9316180542
1998,SVN,31791.9628509515
1998,SWE,35725.2663852018
1998,USA,57637.0427831556
1999,AUS,48064.8702398545
1999,AUT,57354.8995810643
1999,BEL,61484.4122133103
1999,CAN,45157.2301888622
1999,CHE,59892.0756353912
1999,CHL,20533.3614952805
1999,CRI,17857.0431091067
1999,CZE,19344.549319197
1999,DEU,51050.1047921484
1999,DNK,52066.9546693479
1999,ESP,43985.4991712143
1999,EST,13189.7029181938
1999,FIN,42345.8186344546
1999,FRA,43487.3872731446
1999,GBR,42984.9070911157
1999,GRC,28192.9225857666
1999,HUN,17177.9527606513
1999,IRL,36975.7921315167
1999,ISL,55312.6290642168
1999,ISR,36578.6182510483
1999,ITA,45305.3326437474
1999,JPN,41196.8831719266
1999,KOR,31943.4974549592
1999,LTU,17032.2314578173
1999,LUX,62143.7704043944
1999,LVA,12738.3870069854
1999,MEX,16447.9090113701
1999,NLD,58627.7342232546
1999,NOR,36126.3901297276
1999,NZL,36307.9567786027
1999,OECD,44574.0091379444
1999,POL,23660.2996667734
1999,PRT,30550.5170050681
1999,SVK,15779.4941628587
1999,SVN,32379.3705161439
1999,SWE,36486.2699919809
1999,USA,59155.7421749748
2000,AUS,48213.0886758407
2000,AUT,57529.017471462
2000,BEL,60929.1405210416
2000,CAN,46526.3392846538
2000,CHE,60767.7071013052
2000,CHL,20514.9086069056
2000,CRI,18159.5106498901
2000,CZE,20070.4824207018
2000,DEU,51344.1011892339
2000,DNK,52018.8800522512
2000,ESP,43029.08323482
2000,EST,14253.9989610863
2000,FIN,43072.8440388183
2000,FRA,43694.3469153401
2000,GBR,44967.0915412984
2000,GRC,29797.165441595
2000,HUN,17968.8940022678
2000,IRL,37873.9303720957
2000,ISL,57007.8951731124
2000,ISR,37781.7249640523
2000,ITA,45289.5844590666
2000,JPN,41428.2368740179
2000,KOR,32242.6420334454
2000,LTU,17102.376015679
2000,LUX,64217.0944540361
2000,LVA,13406.7065256231
2000,MEX,17310.5804071391
2000,NLD,60062.6401102152
2000,NOR,36444.1966293975
2000,NZL,36451.9332869269
2000,OECD,45489.4933493597
2000,POL,23769.6120023227
2000,PRT,30975.0102916494
2000,SVK,16381.1268031448
2000,SVN,33203.2334923921
2000,SWE,37650.8104279534
2000,USA,61131.5991879978
2001,AUS,48693.3022958347
2001,AUT,57344.6595639472
2001,BEL,61114.8303582574
2001,CAN,46335.1849867502
2001,CHE,64157.5199646229
2001,CHL,21090.0060113091
2001,CRI,18658.4303309476
2001,CZE,21105.6074778514
2001,DEU,51718.7971800958
2001,DNK,52328.6718586274
2001,ESP,42803.9103514026
2001,EST,14756.028021818
2001,FIN,43299.4123909012
2001,FRA,43969.0308917905
2001,GBR,46885.6374769665
2001,GRC,30798.6954470997
2001,HUN,19334.7387452338
2001,IRL,39371.6694404916
2001,ISL,56571.300312196
2001,ISR,38369.970073471
2001,ITA,45612.8435475867
2001,JPN,41006.3732375184
2001,KOR,33360.1526445993
2001,LTU,18055.463684681
2001,LUX,64622.0991823636
2001,LVA,13843.7914212632
2001,MEX,18313.1602105873
2001,NLD,60953.8624528642
2001,NOR,37463.2667268409
2001,NZL,37143.5850024251
2001,OECD,45984.7167448799
2001,POL,25120.0418164168
2001,PRT,31099.3970992402
2001,SVK,16382.0719690517
2001,SVN,34558.4228900855
2001,SWE,38086.0239664283
2001,USA,61601.2441966738
2002,AUS,49140.6312919188
2002,AUT,58229.1677845208
2002,BEL,62692.5857677577
2002,CAN,45961.5604238959
2002,CHE,65448.0160357358
2002,CHL,21378.5117508051
2002,CRI,18844.7087462418
2002,CZE,22382.4226367986
2002,DEU,52022.6832334872
2002,DNK,53520.3282100163
2002,ESP,43018.4693233152
2002,EST,15621.9883688403
2002,FIN,43532.0304782391
2002,FRA,45155.6725802975
2002,GBR,47505.0791040242
2002,GRC,33599.2385504155
2002,HUN,20301.1433924115
2002,IRL,39798.9182326962
2002,ISL,58197.0904765274
2002,ISR,36922.7009441443
2002,ITA,45290.1008837137
2002,JPN,40178.2962356776
2002,KOR,34507.3518367818
2002,LTU,19273.9633954733
2002,LUX,65946.6348498397
2002,LVA,13420.2376093544
2002,MEX,18241.335167832
2002,NLD,61142.926267129
2002,NOR,38854.5026901913
2002,NZL,37829.944950201
2002,OECD,46124.7618588575
2002,POL,25032.1084833531
2002,PRT,31085.9971051497
2002,SVK,17226.4836409828
2002,SVN,34648.4383115769
2002,SWE,38587.1431853424
2002,USA,62096.6251177735
2003,AUS,49849.375153206
2003,AUT,58368.8732080416
2003,BEL,63066.2951835172
2003,CAN,45975.7501748327
2003,CHE,65111.6354000731
2003,CHL,21710.7019802697
2003,CRI,18244.2030367978
2003,CZE,24089.0418754447
2003,DEU,52195.6100297449
2003,DNK,54841.2509195781
2003,ESP,42799.7042485881
2003,EST,17131.0628228728
2003,FIN,44359.3512487637
2003,FRA,45524.2259611956
2003,GBR,49042.4290787212
2003,GRC,35079.2461712387
2003,HUN,21926.5131820765
2003,IRL,41094.8694450715
2003,ISL,56719.1193300083
2003,ISR,35655.6494770918
2003,ITA,45168.0093629472
2003,JPN,40212.7682948056
2003,KOR,35782.4587315445
2003,LTU,21352.4689332677
2003,LUX,65475.2173019376
2003,LVA,14380.6669326338
2003,MEX,18561.5380968302
2003,NLD,61574.3957703317
2003,NOR,39367.2645052495
2003,NZL,39232.6746922598
2003,OECD,46513.0536953501
2003,POL,25339.5485033509
2003,PRT,31014.3813753775
2003,SVK,17559.1945221729
2003,SVN,35375.7068483994
2003,SWE,38908.1938581604
2003,USA,62764.1024317111
2004,AUS,51414.3183931236
2004,AUT,59473.2547857365
2004,BEL,62735.500110825
2004,CAN,46969.1181742113
2004,CHE,64650.6819829416
2004,CHL,21258.8105437339
2004,CRI,18298.3531408796
2004,CZE,25174.1038662057
2004,DEU,52188.8590123583
2004,DNK,56061.8068734798
2004,ESP,42254.9948916658
2004,EST,18486.6409697089
2004,FIN,45807.9321965031
2004,FRA,46266.4567927184
2004,GBR,50561.3262376614
2004,GRC,35722.5698006753
2004,HUN,23457.6542846171
2004,IRL,42554.2963138954
2004,ISL,60144.3890443583
2004,ISR,35106.8526294072
2004,ITA,46032.2578746232
2004,JPN,40884.3857812942
2004,KOR,36589.8210425939
2004,LTU,23693.9421983573
2004,LUX,66216.9518308861
2004,LVA,15634.0932327824
2004,MEX,18650.0791567088
2004,NLD,62542.9650696612
2004,NOR,40693.2868000603
2004,NZL,40606.5085802485
2004,OECD,47165.3564536903
2004,POL,24784.9419359353
2004,PRT,31055.5545908429
2004,SVK,17812.3573685056
2004,SVN,37099.9518861072
2004,SWE,40203.8422971098
2004,USA,63927.4058206756
2005,AUS,52013.9397458168
2005,AUT,59801.3699326072
2005,BEL,62139.9483473314
2005,CAN,48325.7446445807
2005,CHE,65657.7464506489
2005,CHL,21069.0686210518
2005,COL,16614.182680813
2005,CRI,16702.9873563448
2005,CZE,25914.0680590434
2005,DEU,52377.6526690875
2005,DNK,57030.2441996056
2005,ESP,42437.1974102839
2005,EST,19715.3330989997
2005,FIN,46788.1461799057
2005,FRA,46823.7930957185
2005,GBR,50067.2515234925
2005,GRC,35603.3185012696
2005,HUN,24491.9448218096
2005,IRL,44330.0256538471
2005,ISL,64809.4549396639
2005,ISR,35173.8955719939
2005,ITA,46654.2474791671
2005,JPN,41936.1047645398
2005,KOR,37718.5049302966
2005,LTU,26174.7583218209
2005,LUX,66536.8421094752
2005,LVA,18183.978024747
2005,MEX,18777.9097623886
2005,NLD,62542.6519793531
2005,NOR,41868.8541947332
2005,NZL,41292.8525571237
2005,OECD,47448.8889271197
2005,POL,24682.3802777959
2005,PRT,30885.7878852021
2005,SVK,18906.777462061
2005,SVN,38510.0830732
2005,SWE,41216.485544639
2005,USA,63987.3191636395
2006,AUS,52368
2006,AUT,60698
2006,BEL,62562
2006,CAN,49797
2006,CHE,65847
2006,CHL,21589
2006,COL,16958
2006,CRI,17300
2006,CZE,26952
2006,DEU,52367
2006,DNK,57991
2006,ESP,42235
2006,EST,21504
2006,FIN,47757
2006,FRA,47347
2006,GBR,51890
2006,GRC,36027
2006,HUN,24969
2006,IRL,44703
2006,ISL,68219
2006,ISR,36161
2006,ITA,46947
2006,JPN,41911
2006,KOR,38204
2006,LTU,29975
2006,LUX,67458
2006,LVA,20051
2006,MEX,18746
2006,NLD,62407
2006,NOR,43540
2006,NZL,41548
2006,OECD,47905
2006,POL,24848
2006,PRT,30215
2006,SVK,19561
2006,SVN,39774
2006,SWE,42366
2006,TUR,21432
2006,USA,64945
2007,AUS,53805
2007,AUT,61047
2007,BEL,62446
2007,CAN,51127
2007,CHE,66634
2007,CHL,22100
2007,COL,16848
2007,CRI,17069
2007,CZE,27757
2007,DEU,52208
2007,DNK,58638
2007,ESP,42692
2007,EST,25012
2007,FIN,48395
2007,FRA,47520
2007,GBR,53926
2007,GRC,36033
2007,HUN,24783
2007,IRL,45969
2007,ISL,70267
2007,ISR,36502
2007,ITA,46928
2007,JPN,41799
2007,KOR,39031
2007,LTU,31929
2007,LUX,69283
2007,LVA,24721
2007,MEX,18818
2007,NLD,63276
2007,NOR,45473
2007,NZL,43973
2007,OECD,48521
2007,POL,25664
2007,PRT,30417
2007,SVK,20761
2007,SVN,40657
2007,SWE,43779
2007,TUR,22170
2007,USA,66174
2008,AUS,54149
2008,AUT,62081
2008,BEL,62715
2008,CAN,52025
2008,CHE,66983
2008,CHL,22505
2008,COL,18496
2008,CRI,17725
2008,CZE,27906
2008,DEU,52442
2008,DNK,59414
2008,ESP,44201
2008,EST,25382
2008,FIN,48809
2008,FRA,47429
2008,GBR,52475
2008,GRC,35476
2008,HUN,25128
2008,IRL,48089
2008,ISL,62292
2008,ISR,35979
2008,ITA,46864
2008,JPN,41463
2008,KOR,38914
2008,LTU,32512
2008,LUX,68923
2008,LVA,25508
2008,MEX,18656
2008,NLD,63660
2008,NOR,46429
2008,NZL,43463
2008,OECD,48466
2008,POL,27011
2008,PRT,30315
2008,SVK,20974
2008,SVN,41272
2008,SWE,44635
2008,TUR,22042
2008,USA,66011
2009,AUS,53644
2009,AUT,63135
2009,BEL,63590
2009,CAN,52363
2009,CHE,68319
2009,CHL,24588
2009,COL,19172
2009,CRI,20177
2009,CZE,27793
2009,DEU,52453
2009,DNK,60853
2009,ESP,46983
2009,EST,24704
2009,FIN,49229
2009,FRA,48938
2009,GBR,52346
2009,GRC,37151
2009,HUN,23692
2009,IRL,52639
2009,ISL,52694
2009,ISR,34890
2009,ITA,47224
2009,JPN,40869
2009,KOR,39116
2009,LTU,28233
2009,LUX,71070
2009,LVA,23031
2009,MEX,18806
2009,NLD,66337
2009,NOR,46915
2009,NZL,43994
2009,OECD,48764
2009,POL,26997
2009,PRT,31716
2009,SVK,21689
2009,SVN,41676
2009,SWE,44790
2009,TUR,22292
2009,USA,66673
2010,AUS,55536
2010,AUT,62831
2010,BEL,63295
2010,CAN,52457
2010,CHE,67961
2010,CHL,27871
2010,COL,19800
2010,CRI,21062
2010,CZE,28648
2010,DEU,52912
2010,DNK,61537
2010,ESP,46538
2010,EST,24461
2010,FIN,49911
2010,FRA,49926
2010,GBR,52455
2010,GRC,35454
2010,HUN,24005
2010,IRL,52793
2010,ISL,54268
2010,ISR,34993
2010,ITA,47629
2010,JPN,40999
2010,KOR,39730
2010,LTU,28340
2010,LUX,71085
2010,LVA,22140
2010,MEX,17618
2010,NLD,66270
2010,NOR,47531
2010,NZL,44476
2010,OECD,48881
2010,POL,28091
2010,PRT,31589
2010,SVK,22642
2010,SVN,42846
2010,SWE,45337
2010,TUR,22847
2010,USA,67263
2011,AUS,57361
2011,AUT,62159
2011,BEL,63944
2011,CAN,53088
2011,CHE,68401
2011,CHL,28639
2011,COL,19693
2011,CRI,22174
2011,CZE,28882
2011,DEU,53980
2011,DNK,61213
2011,ESP,45707
2011,EST,23907
2011,FIN,49925
2011,FRA,49836
2011,GBR,51497
2011,GRC,33205
2011,HUN,24316
2011,IRL,52035
2011,ISL,56570
2011,ISR,35189
2011,ITA,46866
2011,JPN,41656
2011,KOR,40252
2011,LTU,28918
2011,LUX,71478
2011,LVA,21373
2011,MEX,17777
2011,NLD,65977
2011,NOR,49201
2011,NZL,44442
2011,OECD,49011
2011,POL,28247
2011,PRT,30820
2011,SVK,22443
2011,SVN,42725
2011,SWE,46020
2011,TUR,23216
2011,USA,67353
2012,AUS,57752
2012,AUT,62515
2012,BEL,64461
2012,CAN,53717
2012,CHE,69383
2012,CHL,29661
2012,COL,20172
2012,CRI,22579
2012,CZE,28934
2012,DEU,54699
2012,DNK,61121
2012,ESP,44427
2012,EST,24256
2012,FIN,49965
2012,FRA,50159
2012,GBR,51070
2012,GRC,31272
2012,HUN,23506
2012,IRL,51578
2012,ISL,56277
2012,ISR,35792
2012,ITA,45379
2012,JPN,40963
2012,KOR,39660
2012,LTU,29401
2012,LUX,70741
2012,LVA,22240
2012,MEX,17457
2012,NLD,66198
2012,NOR,50542
2012,NZL,45402
2012,OECD,49003
2012,POL,27972
2012,PRT,29496
2012,SVK,22161
2012,SVN,41437
2012,SWE,46993
2012,TUR,24153
2012,USA,67928
2013,AUS,57579
2013,AUT,62568
2013,BEL,65099
2013,CAN,54286
2013,CHE,70280
2013,CHL,30530
2013,COL,20588
2013,CRI,24442
2013,CZE,28754
2013,DEU,55215
2013,DNK,61548
2013,ESP,44431
2013,EST,24859
2013,FIN,49465
2013,FRA,50581
2013,GBR,51594
2013,GRC,29229
2013,HUN,23266
2013,IRL,50323
2013,ISL,57135
2013,ISR,35900
2013,ITA,45527
2013,JPN,40995
2013,KOR,40661
2013,LTU,30515
2013,LUX,71601
2013,LVA,23301
2013,MEX,17470
2013,NLD,66395
2013,NOR,51576
2013,NZL,44794
2013,OECD,49137
2013,POL,28274
2013,PRT,30056
2013,SVK,22333
2013,SVN,40760
2013,SWE,47506
2013,TUR,25265
2013,USA,67604
2014,AUS,58102
2014,AUT,62801
2014,BEL,65461
2014,CAN,54995
2014,CHE,70412
2014,CHL,30657
2014,COL,20602
2014,CRI,24510
2014,CZE,29360
2014,DEU,56141
2014,DNK,62723
2014,ESP,44294
2014,EST,26232
2014,FIN,49449
2014,FRA,50929
2014,GBR,51816
2014,GRC,29108
2014,HUN,22961
2014,IRL,50080
2014,ISL,57946
2014,ISR,36112
2014,ITA,45704
2014,JPN,40257
2014,KOR,40746
2014,LTU,31902
2014,LUX,72846
2014,LVA,24864
2014,MEX,17503
2014,NLD,66039
2014,NOR,51809
2014,NZL,44969
2014,OECD,49509
2014,POL,28919
2014,PRT,29538
2014,SVK,22781
2014,SVN,41576
2014,SWE,48043
2014,TUR,26127
2014,USA,68591
2015,AUS,57744
2015,AUT,63231
2015,BEL,65017
2015,CAN,55400
2015,CHE,70797
2015,CHL,30615
2015,COL,20685
2015,CRI,26186
2015,CZE,30224
2015,DEU,57431
2015,DNK,63828
2015,ESP,44957
2015,EST,27434
2015,FIN,49836
2015,FRA,51415
2015,GBR,52549
2015,GRC,29394
2015,HUN,23140
2015,IRL,50079
2015,ISL,61777
2015,ISR,37213
2015,ITA,46103
2015,JPN,40062
2015,KOR,41878
2015,LTU,33989
2015,LUX,73225
2015,LVA,26944
2015,MEX,17730
2015,NLD,66841
2015,NOR,52068
2015,NZL,45779
2015,OECD,50336
2015,POL,29635
2015,PRT,29448
2015,SVK,23676
2015,SVN,42482
2015,SWE,48770
2015,TUR,26786
2015,USA,70320
2016,AUS,57885
2016,AUT,63860
2016,BEL,65157
2016,CAN,54350
2016,CHE,70468
2016,CHL,31834
2016,COL,20488
2016,CRI,27364
2016,CZE,31291
2016,DEU,58311
2016,DNK,63894
2016,ESP,44704
2016,EST,28837
2016,FIN,50274
2016,FRA,52010
2016,GBR,53156
2016,GRC,28720
2016,HUN,23349
2016,IRL,50593
2016,ISL,68732
2016,ISR,38698
2016,ITA,46469
2016,JPN,40609
2016,KOR,43106
2016,LTU,35752
2016,LUX,72999
2016,LVA,28523
2016,MEX,17522
2016,NLD,67112
2016,NOR,51226
2016,NZL,47269
2016,OECD,50781
2016,POL,31199
2016,PRT,29320
2016,SVK,24426
2016,SVN,44095
2016,SWE,49535
2016,TUR,30081
2016,USA,70446
2017,AUS,57619
2017,AUT,63856
2017,BEL,64700
2017,CAN,55122
2017,CHE,70087
2017,CHL,30847
2017,COL,21020
2017,CRI,27020
2017,CZE,32891
2017,DEU,58924
2017,DNK,64281
2017,ESP,44123
2017,EST,29500
2017,FIN,49985
2017,FRA,52732
2017,GBR,53471
2017,GRC,28903
2017,HUN,25038
2017,IRL,51180
2017,ISL,75287
2017,ISR,39898
2017,ITA,46169
2017,JPN,40710
2017,KOR,44119
2017,LTU,37766
2017,LUX,73918
2017,LVA,29546
2017,MEX,17475
2017,NLD,66634
2017,NOR,51096
2017,NZL,47594
2017,OECD,51154
2017,POL,32475
2017,PRT,29433
2017,SVK,25151
2017,SVN,44894
2017,SWE,49797
2017,TUR,29515
2017,USA,71157
2018,AUS,57843
2018,AUT,64101
2018,BEL,65083
2018,CAN,56083
2018,CHE,69892
2018,CHL,32348
2018,COL,21821
2018,CRI,27709
2018,CZE,34633
2018,DEU,59750
2018,DNK,64765
2018,ESP,43975
2018,EST,31391
2018,FIN,50354
2018,FRA,52664
2018,GBR,53950
2018,GRC,27569
2018,HUN,26265
2018,IRL,51852
2018,ISL,79476
2018,ISR,41059
2018,ITA,46230
2018,JPN,41172
2018,KOR,45640
2018,LTU,39524
2018,LUX,74261
2018,LVA,30640
2018,MEX,17865
2018,NLD,65910
2018,NOR,51340
2018,NZL,48784
2018,OECD,51768
2018,POL,34546
2018,PRT,29919
2018,SVK,25862
2018,SVN,45702
2018,SWE,50041
2018,TUR,30041
2018,USA,71937
2019,AUS,58620
2019,AUT,64623
2019,BEL,65700
2019,CAN,56370
2019,CHE,71189
2019,CHL,33190
2019,COL,21751
2019,CRI,28524
2019,CZE,36071
2019,DEU,60732
2019,DNK,65222
2019,ESP,44448
2019,EST,33006
2019,FIN,50873
2019,FRA,53172
2019,GBR,54703
2019,GRC,27615
2019,HUN,27140
2019,IRL,52648
2019,ISL,76444
2019,ISR,41964
2019,ITA,46460
2019,JPN,41699
2019,KOR,47207
2019,LTU,42041
2019,LUX,74399
2019,LVA,31972
2019,MEX,18031
2019,NLD,65449
2019,NOR,52273
2019,NZL,50211
2019,OECD,52654
2019,POL,36667
2019,PRT,31081
2019,SVK,26707
2019,SVN,47050
2019,SWE,50559
2019,TUR,31927
2019,USA,73194
2020,AUS,60377
2020,AUT,64648
2020,BEL,63677
2020,CAN,59160
2020,CHE,69728
2020,CHL,31369
2020,COL,24681
2020,CRI,31341
2020,CZE,35552
2020,DEU,60309
2020,DNK,66203
2020,ESP,43828
2020,EST,35128
2020,FIN,51092
2020,FRA,50550
2020,GBR,53612
2020,GRC,27747
2020,HUN,27588
2020,IRL,53651
2020,ISL,71687
2020,ISR,42130
2020,ITA,44246
2020,JPN,41442
2020,KOR,48294
2020,LTU,44228
2020,LUX,74839
2020,LVA,33199
2020,MEX,17467
2020,NLD,67163
2020,NOR,52415
2020,NZL,51417
2020,OECD,53448
2020,POL,37325
2020,PRT,31300
2020,SVK,27052
2020,SVN,48605
2020,SWE,51214
2020,TUR,31761
2020,USA,77567
2021,AUS,60681.4985470798
2021,AUT,65402.3162965476
2021,BEL,65520.8213051768
2021,CAN,59568.7827892649
2021,CHE,72358.4396707178
2021,CHL,33042.3321032483
2021,COL,22248.491555719
2021,CRI,31117.8342634137
2021,CZE,36269.7079920766
2021,DEU,60291.2417705174
2021,DNK,66503.047789185
2021,ESP,44443.8899670243
2021,EST,37317.8229724108
2021,FIN,52785.319629001
2021,FRA,52542.1889164276
2021,GBR,54762.303325297
2021,GRC,27659.571732801
2021,HUN,28462.42341444
2021,IRL,53209.4763980234
2021,ISL,74654.5195183111
2021,ISR,44338.8688693076
2021,ITA,45960.645620873
2021,JPN,42041.3125511302
2021,KOR,49142.9805200912
2021,LTU,47035.4439005045
2021,LUX,79018.9025259162
2021,LVA,35923.0630482097
2021,MEX,17637.0555458369
2021,NLD,66221.4846031508
2021,NOR,53813.2071587588
2021,NZL,51877.3367043711
2021,OECD,54257.5955364606
2021,POL,37126.6934562862
2021,PRT,32089.3779752031
2021,SVK,27546.5790360663
2021,SVN,50466.6879441415
2021,SWE,51928.975473868
2021,USA,78894.280607394
