TIME_PERIOD,REF_AREA,Population
1983,AUT,7561910
1983,BEL,9855521
1983,CAN,25366451
1983,CHE,6418774
1983,CHL,11730972
1983,COL,29289744
1983,CRI,2505453
1983,CZE,10322823
1983,DEU,78128284
1983,DNK,5114297
1983,ESP,38160263
1983,EST,1508745
1983,EU27,410643337
1983,FIN,4855786
1983,FRA,54772418
1983,G20,3298900032
1983,GBR,56315677
1983,GRC,9846627
1983,HUN,10689467
1983,IRL,3504000
1983,ISL,236976
1983,ISR,4106100
1983,ITA,56564076
1983,JPN,119536000
1983,KOR,39910403
1983,LTU,3485192
1983,LUX,365621
1983,LVA,2546011
1983,MEX,72671675
1983,NLD,14367066
1983,NOR,4128434
1983,NZL,3245770
1983,OECD,1046032169
1983,POL,36571418
1983,PRT,9957865
1983,SVK,5091537
1983,SVN,1922322
1983,SWE,8329025
1983,TUR,47864000
1983,USA,233791994
1984,AUS,15579391
1984,AUT,7561434
1984,BEL,9855372
1984,CAN,25607053
1984,CHE,6441865
1984,CHL,11916572
1984,COL,29842691
1984,CRI,2573769
1984,CZE,10330481
1984,DEU,77858682
1984,DNK,5111619
1984,ESP,38325244
1984,EST,1518617
1984,EU27,411554755
1984,FIN,4881806
1984,FRA,55026074
1984,G20,3347926044
1984,GBR,56409327
1984,GRC,9895801
1984,HUN,10668092
1984,IRL,3529000
1984,ISL,239506
1984,ISR,4159100
1984,ITA,56576719
1984,JPN,120305000
1984,KOR,40405956
1984,LTU,3514205
1984,LUX,365997
1984,LVA,2562047
1984,MEX,74359027
1984,NLD,14424211
1984,NOR,4140098
1984,NZL,3278850
1984,OECD,1054464723
1984,POL,36913515
1984,PRT,9996232
1984,SVK,5127719
1984,SVN,1932154
1984,SWE,8336595
1984,TUR,49070000
1984,USA,235824902
1985,AUS,15788312
1985,AUT,7564984
1985,BEL,9858309
1985,CAN,25842116
1985,CHE,6470366
1985,CHL,12102174
1985,COL,30419892
1985,CRI,2646142
1985,CZE,10336742
1985,DEU,77684878
1985,DNK,5113691
1985,ESP,38467025
1985,EST,1528781
1985,EU27,412493936
1985,FIN,4902202
1985,FRA,55284271
1985,G20,3398372876
1985,GBR,56553955
1985,GRC,9934294
1985,HUN,10648715
1985,IRL,3540000
1985,ISL,241409
1985,ISR,4233000
1985,ITA,56593070
1985,JPN,121048923
1985,KOR,40805744
1985,LTU,3544543
1985,LUX,366707
1985,LVA,2578873
1985,MEX,76030535
1985,NLD,14491629
1985,NOR,4152518
1985,NZL,3298050
1985,OECD,1062983046
1985,POL,37202981
1985,PRT,10023613
1985,SVK,5161789
1985,SVN,1941640
1985,SWE,8350378
1985,TUR,50307000
1985,USA,237923795
1986,AUS,16018350
1986,AUT,7569794
1986,BEL,9861824
1986,CAN,26100278
1986,CHE,6504125
1986,CHL,12317494
1986,COL,30980812
1986,CRI,2726063
1986,CZE,10340737
1986,DEU,77720438
1986,DNK,5120534
1986,ESP,38571941
1986,EST,1540190
1986,EU27,413589441.5
1986,FIN,4918150
1986,FRA,55546504
1986,G20,3450679444.5
1986,GBR,56683835
1986,GRC,9967264
1986,HUN,10630565
1986,IRL,3540600
1986,ISL,243187
1986,ISR,4298800
1986,ITA,56596157
1986,JPN,121660000
1986,KOR,41213674
1986,LTU,3578914
1986,LUX,368354
1986,LVA,2599892
1986,MEX,77689757
1986,NLD,14572280
1986,NOR,4167357
1986,NZL,3308310
1986,OECD,1071600812.5
1986,POL,37455681
1986,PRT,10032733.5
1986,SVK,5192789
1986,SVN,1980718
1986,SWE,8369824
1986,TUR,51480000
1986,USA,240132887
1987,AUS,16263874
1987,AUT,7574586
1987,BEL,9870234
1987,CAN,26446601
1987,CHE,6545107
1987,CHL,12532815
1987,COL,31550132
1987,CRI,2804079
1987,CZE,10348834
1987,DEU,77839920
1987,DNK,5127024
1987,ESP,38682322
1987,EST,1552221
1987,EU27,414765405.5
1987,FIN,4932123
1987,FRA,55823956
1987,G20,3504504781.5
1987,GBR,56803958
1987,GRC,10000644
1987,HUN,10612743
1987,IRL,3546500
1987,ISL,245864
1987,ISR,4368900
1987,ITA,56601936
1987,JPN,122239000
1987,KOR,41621690
1987,LTU,3616367
1987,LUX,370751
1987,LVA,2626583
1987,MEX,79339498
1987,NLD,14665037
1987,NOR,4186905
1987,NZL,3327785
1987,OECD,1080031561.5
1987,POL,37663756
1987,PRT,10030030.5
1987,SVK,5223609
1987,SVN,1989462
1987,SWE,8397797
1987,TUR,52370000
1987,USA,242288918
1988,AUS,16532164
1988,AUT,7585317
1988,BEL,9901665
1988,CAN,26791747
1988,CHE,6593387
1988,CHL,12748135
1988,COL,32124173
1988,CRI,2878888
1988,CZE,10356359
1988,DEU,78144617
1988,DNK,5129517
1988,ESP,38764307
1988,EST,1561900
1988,EU27,416124847
1988,FIN,4946487
1988,FRA,56117974
1988,G20,3558476552
1988,GBR,56916448
1988,GRC,10037037
1988,HUN,10596489
1988,IRL,3530700
1988,ISL,249734
1988,ISR,4441700
1988,ITA,56629290
1988,JPN,122745000
1988,KOR,42031247
1988,LTU,3655049
1988,LUX,373450
1988,LVA,2653434
1988,MEX,80970606
1988,NLD,14760092
1988,NOR,4209489
1988,NZL,3343680
1988,OECD,1088656328
1988,POL,37862063
1988,PRT,10019610
1988,SVK,5251120
1988,SVN,1999988
1988,SWE,8436483
1988,TUR,53268000
1988,USA,244498982
1989,AUS,16814416
1989,AUT,7619566
1989,BEL,9937697
1989,CAN,27276781
1989,CHE,6646912
1989,CHL,12963457
1989,COL,32697847
1989,CRI,2955335
1989,CZE,10362257
1989,DEU,78751284
1989,DNK,5132594
1989,ESP,38821377
1989,EST,1568131
1989,EU27,417477810
1989,FIN,4964370
1989,FRA,56423411
1989,G20,3612248632
1989,GBR,57076451
1989,GRC,10089550
1989,HUN,10481717
1989,IRL,3509500
1989,ISL,252851
1989,ISR,4518200
1989,ITA,56671778
1989,JPN,123205000
1989,KOR,42449038
1989,LTU,3684255
1989,LUX,377095
1989,LVA,2666955
1989,MEX,82579032
1989,NLD,14848906
1989,NOR,4226909
1989,NZL,3357535
1989,OECD,1097677794
1989,POL,37962808
1989,PRT,10005000
1989,SVK,5276186
1989,SVN,1999404
1989,SWE,8492959
1989,TUR,54192000
1989,USA,246819230
1990,AUS,17065128
1990,AUT,7677850
1990,BEL,9967378
1990,CAN,27691138
1990,CHE,6712273
1990,CHL,13178782
1990,COL,33268154
1990,CRI,3029336
1990,CZE,10362740
1990,DEU,79433034
1990,DNK,5140939
1990,ESP,38860827
1990,EST,1569174
1990,EU27,418793689
1990,FIN,4986433
1990,FRA,56708826
1990,G20,3667347052
1990,GBR,57237493
1990,GRC,10196801
1990,HUN,10373987
1990,IRL,3505800
1990,ISL,254820
1990,ISR,4660200
1990,ITA,56719239
1990,JPN,123611167
1990,KOR,42869283
1990,LTU,3697838
1990,LUX,381857
1990,LVA,2663146
1990,MEX,84169571
1990,NLD,14951510
1990,NOR,4241476
1990,NZL,3390085
1990,OECD,1107187515
1990,POL,38030500
1990,PRT,9983218
1990,SVK,5297774
1990,SVN,1998090
1990,SWE,8558834
1990,TUR,55120000
1990,USA,249622814
1991,AUS,17284036
1991,AUT,7754891
1991,BEL,10004486
1991,CAN,28037420
1991,CHE,6799979
1991,CHL,13422010
1991,COL,33840991
1991,CRI,3101536
1991,CZE,10308682
1991,DEU,80013901
1991,DNK,5154298
1991,ESP,38941622
1991,EST,1561314
1991,EU27,421369837
1991,FIN,5013737
1991,FRA,58425681
1991,G20,3721045445
1991,GBR,57438658
1991,GRC,10319928
1991,HUN,10373398
1991,IRL,3525700
1991,ISL,257795
1991,ISR,4949100
1991,ITA,56758522
1991,JPN,124101000
1991,KOR,43295704
1991,LTU,3704134
1991,LUX,386999
1991,LVA,2650581
1991,MEX,85748742
1991,NLD,15069799
1991,NOR,4261738
1991,NZL,3495100
1991,OECD,1119008706
1991,POL,38108500
1991,PRT,9960235
1991,SVK,5283404
1991,SVN,2001768
1991,SWE,8617376
1991,TUR,56055000
1991,USA,252980941
1992,AUS,17478635
1992,AUT,7840709
1992,BEL,10045165
1992,CAN,28371264
1992,CHE,6875364
1992,CHL,13737062
1992,COL,34425915
1992,CRI,3170537
1992,CZE,10317807
1992,DEU,80624601
1992,DNK,5171370
1992,ESP,39147940
1992,EST,1533091
1992,EU27,422646655.5
1992,FIN,5041990
1992,FRA,58711615
1992,G20,3769366349.5
1992,GBR,57584530
1992,GRC,10399058
1992,HUN,10369339
1992,IRL,3554500
1992,ISL,261053
1992,ISR,5123500
1992,ITA,56797078
1992,JPN,124567000
1992,KOR,43747962
1992,LTU,3700114
1992,LUX,392171
1992,LVA,2614338
1992,MEX,87312337
1992,NLD,15184163
1992,NOR,4286397
1992,NZL,3531700
1992,OECD,1129514958.5
1992,POL,38173500
1992,PRT,9952493.5
1992,SVK,5306539
1992,SVN,1995832
1992,SWE,8668065
1992,TUR,56986000
1992,USA,256514224
1993,AUS,17634808
1993,AUT,7905632
1993,BEL,10084479
1993,CAN,28684764
1993,CHE,6938265
1993,CHL,13956766
1993,COL,35032308
1993,CRI,3239868
1993,CZE,10330607
1993,DEU,81156368
1993,DNK,5189377
1993,ESP,39356082
1993,EST,1494128
1993,EU27,423940051.5
1993,FIN,5066452
1993,FRA,58961049
1993,G20,3815965692.5
1993,GBR,57713889
1993,GRC,10460409
1993,HUN,10357518
1993,IRL,3574100
1993,ISL,263730
1993,ISR,5261400
1993,ITA,56831823
1993,JPN,124938000
1993,KOR,44194628
1993,LTU,3682613
1993,LUX,397481
1993,LVA,2563289
1993,MEX,88850856
1993,NLD,15290368
1993,NOR,4311984
1993,NZL,3572200
1993,OECD,1139346316.5
1993,POL,38221000
1993,PRT,9964674.5
1993,SVK,5324632
1993,SVN,1990623
1993,SWE,8718558
1993,TUR,57913000
1993,USA,259918588
1994,AUS,17805468
1994,AUT,7936118
1994,BEL,10115601
1994,CAN,29000663
1994,CHE,6993795
1994,CHL,14171821
1994,COL,35629174
1994,CRI,3334223
1994,CZE,10336162
1994,DEU,81438346
1994,DNK,5204994
1994,ESP,39547353
1994,EST,1462514
1994,EU27,424914845
1994,FIN,5088324
1994,FRA,59175335
1994,G20,3861435365
1994,GBR,57862145
1994,GRC,10512924
1994,HUN,10343359
1994,IRL,3585900
1994,ISL,266021
1994,ISR,5399300
1994,ITA,56843400
1994,JPN,125265000
1994,KOR,44641540
1994,LTU,3657144
1994,LUX,402921
1994,LVA,2520742
1994,MEX,90362709
1994,NLD,15382834
1994,NOR,4336614
1994,NZL,3620000
1994,OECD,1148565794
1994,POL,38252000
1994,PRT,9991525
1994,SVK,5347413
1994,SVN,1988850
1994,SWE,8780741
1994,TUR,58837000
1994,USA,263125821
1995,AUS,18004882
1995,AUT,7948278
1995,BEL,10136814
1995,CAN,29302311
1995,CHE,7040687
1995,CHL,14381249
1995,COL,36229830
1995,CRI,3428278
1995,CZE,10330759
1995,DEU,81678046
1995,DNK,5227861
1995,ESP,39718895
1995,EST,1436634
1995,EU27,425685108
1995,FIN,5107787
1995,FRA,59383991
1995,G20,3906041795
1995,GBR,58024799
1995,GRC,10562160
1995,HUN,10328967
1995,IRL,3601300
1995,ISL,267467
1995,ISR,5544900
1995,ITA,56844301
1995,JPN,125570246
1995,KOR,45092991
1995,LTU,3629102
1995,LUX,408625
1995,LVA,2485054
1995,MEX,91843905
1995,NLD,15459004
1995,NOR,4359187
1995,NZL,3673400
1995,OECD,1157564904
1995,POL,38274500
1995,PRT,10026176
1995,SVK,5363676
1995,SVN,1987505
1995,SWE,8826944
1995,TUR,59756000
1995,USA,266278393
1996,AUS,18224767
1996,AUT,7959016
1996,BEL,10156641
1996,CAN,29610218
1996,CHE,7071851
1996,CHL,14584947
1996,COL,36830574
1996,CRI,3520866
1996,CZE,10315353
1996,DEU,81914834
1996,DNK,5261503
1996,ESP,39884246
1996,EST,1415594
1996,EU27,426364400.5
1996,FIN,5124573
1996,FRA,59589289
1996,G20,3949412757.5
1996,GBR,58164374
1996,GRC,10608801
1996,HUN,10311235
1996,IRL,3626087
1996,ISL,268918
1996,ISR,5685100
1996,ITA,56860279
1996,JPN,125864000
1996,KOR,45524681
1996,LTU,3601613
1996,LUX,414228
1996,LVA,2457226
1996,MEX,93294783
1996,NLD,15530500
1996,NOR,4381339
1996,NZL,3732000
1996,OECD,1166413625.5
1996,POL,38289000
1996,PRT,10063944.5
1996,SVK,5373793
1996,SVN,1991169
1996,SWE,8840999
1996,TUR,60671000
1996,USA,269394284
1997,AUS,18423037
1997,AUT,7968041
1997,BEL,10181246
1997,CAN,29905948
1997,CHE,7088906
1997,CHL,14782706
1997,COL,37426532
1997,CRI,3611224
1997,CZE,10303642
1997,DEU,82034775
1997,DNK,5284220
1997,ESP,40049974
1997,EST,1399535
1997,EU27,426941575
1997,FIN,5139839
1997,FRA,59795263
1997,G20,3992015961
1997,GBR,58314249
1997,GRC,10661264
1997,HUN,10290475
1997,IRL,3664313
1997,ISL,271130
1997,ISR,5828900
1997,ITA,56890371
1997,JPN,126166000
1997,KOR,45953580
1997,LTU,3575137
1997,LUX,419440
1997,LVA,2432851
1997,MEX,94720541
1997,NLD,15610650
1997,NOR,4405158
1997,NZL,3781300
1997,OECD,1175226289
1997,POL,38292000
1997,PRT,10108977
1997,SVK,5383233
1997,SVN,1986848
1997,SWE,8846059
1997,TUR,61582000
1997,USA,272646925
1998,AUS,18607584
1998,AUT,7976789
1998,BEL,10203012
1998,CAN,30155173
1998,CHE,7110002
1998,CHL,14974898
1998,COL,38012359
1998,CRI,3699939
1998,CZE,10294943
1998,DEU,82047197
1998,DNK,5301304
1998,ESP,40214066
1998,EST,1386156
1998,EU27,427424910
1998,FIN,5153499
1998,FRA,60011008
1998,G20,4033783497
1998,GBR,58474943
1998,GRC,10720507
1998,HUN,10266571
1998,IRL,3703082
1998,ISL,274049
1998,ISR,5970700
1998,ITA,56906744
1998,JPN,126486000
1998,KOR,46286503
1998,LTU,3549331
1998,LUX,424699
1998,LVA,2410027
1998,MEX,96116960
1998,NLD,15707205
1998,NOR,4431465
1998,NZL,3815000
1998,OECD,1183677959
1998,POL,38283500
1998,PRT,10160196
1998,SVK,5390866
1998,SVN,1982603
1998,SWE,8850975
1998,TUR,62464000
1998,USA,275854104
1999,AUS,18812264
1999,AUT,7992323
1999,BEL,10226419
1999,CAN,30401286
1999,CHE,7143991
1999,CHL,15162353
1999,COL,38585016
1999,CRI,3786841
1999,CZE,10282784
1999,DEU,82100243
1999,DNK,5319111
1999,ESP,40369667
1999,EST,1375654
1999,EU27,428042160
1999,FIN,5165470
1999,FRA,60315406
1999,G20,4074879602
1999,GBR,58684427
1999,GRC,10761698
1999,HUN,10237527
1999,IRL,3741647
1999,ISL,277384
1999,ISR,6125300
1999,ITA,56916316
1999,JPN,126686000
1999,KOR,46616677
1999,LTU,3524237
1999,LUX,430475
1999,LVA,2390477
1999,MEX,97482584
1999,NLD,15812085
1999,NOR,4461915
1999,NZL,3835100
1999,OECD,1192153433
1999,POL,38270000
1999,PRT,10217828
1999,SVK,5395324
1999,SVN,1985557
1999,SWE,8857879
1999,TUR,63364000
1999,USA,279040168
2000,AUS,19028802
2000,AUT,8011566
2000,BEL,10251251
2000,CAN,30685730
2000,CHE,7184250
2000,CHL,15343326
2000,COL,39140080
2000,CRI,3872349
2000,CZE,10272503
2000,DEU,82211501
2000,DNK,5337344
2000,ESP,40554387
2000,EST,1396985
2000,EU27,428966670.5
2000,FIN,5176203
2000,FRA,60724780
2000,G20,4116587793.5
2000,GBR,58886065
2000,GRC,10805806
2000,HUN,10210965
2000,IRL,3789536
2000,ISL,281200
2000,ISR,6289200
2000,ITA,56942108
2000,JPN,126925843
2000,KOR,47008111
2000,LTU,3499534
2000,LUX,436303
2000,LVA,2367549
2000,MEX,98785275
2000,NLD,15925505
2000,NOR,4490973
2000,NZL,3857700
2000,OECD,1200935330.5
2000,POL,38258477.5
2000,PRT,10289898
2000,SVK,5400679
2000,SVN,1990272
2000,SWE,8872112
2000,TUR,64268751
2000,USA,282162411
2001,AUS,19274701
2001,AUT,8042293
2001,BEL,10286571
2001,CAN,31020902
2001,CHE,7226647
2001,CHL,15520049
2001,COL,39674811
2001,CRI,3953393
2001,CZE,10224192
2001,DEU,82349926
2001,DNK,5355082
2001,ESP,40766049
2001,EST,1388115
2001,EU27,429346943
2001,FIN,5188005
2001,FRA,61163237
2001,G20,4157569345.5
2001,GBR,59113016
2001,GRC,10862129
2001,HUN,10187578
2001,IRL,3847198
2001,ISL,284970
2001,ISR,6439037
2001,ITA,56976976
2001,JPN,127291000
2001,KOR,47370164
2001,LTU,3470818
2001,LUX,441522
2001,LVA,2337172
2001,MEX,100105299
2001,NLD,16046182
2001,NOR,4513747
2001,NZL,3880500
2001,OECD,1209615142
2001,POL,38248076
2001,PRT,10362721.5
2001,SVK,5379780
2001,SVN,1992035
2001,SWE,8895963
2001,TUR,65166330.5
2001,USA,284968955
2002,AUS,19495210
2002,AUT,8082121
2002,BEL,10332786
2002,CAN,31360079
2002,CHE,7284754
2002,CHL,15691701
2002,COL,40190679
2002,CRI,4022431
2002,CZE,10200774
2002,DEU,82488493
2002,DNK,5374255
2002,ESP,41423520
2002,EST,1379350
2002,EU27,430374563
2002,FIN,5200598
2002,FRA,61604550
2002,G20,4196872913.5
2002,GBR,59365677
2002,GRC,10902022
2002,HUN,10158610
2002,IRL,3917203
2002,ISL,287516
2002,ISR,6569957
2002,ITA,57089823
2002,JPN,127435000
2002,KOR,47644736
2002,LTU,3443067
2002,LUX,446166
2002,LVA,2310176
2002,MEX,101493987
2002,NLD,16148921
2002,NOR,4538157
2002,NZL,3948500
2002,OECD,1218409936
2002,POL,38232301
2002,PRT,10419630.5
2002,SVK,5378809
2002,SVN,1995718
2002,SWE,8924960
2002,TUR,66002505.5
2002,USA,287625193
2003,AUS,19720737
2003,AUT,8118245
2003,BEL,10376131
2003,CAN,31644028
2003,CHE,7339002
2003,CHL,15856977
2003,COL,40693254
2003,CRI,4086405
2003,CZE,10201651
2003,DEU,82534175
2003,DNK,5387174
2003,ESP,42196231
2003,EST,1370720
2003,EU27,432009574.5
2003,FIN,5213010
2003,FRA,62037544
2003,G20,4237347725.5
2003,GBR,59636662
2003,GRC,10928072
2003,HUN,10129554
2003,IRL,3979853
2003,ISL,289522
2003,ISR,6689748
2003,ITA,57399187
2003,JPN,127619000
2003,KOR,47892330
2003,LTU,3415213
2003,LUX,451626
2003,LVA,2287955
2003,MEX,102890474
2003,NLD,16225303
2003,NOR,4564856
2003,NZL,4027200
2003,OECD,1227092276
2003,POL,38195177
2003,PRT,10458821
2003,SVK,5378950
2003,SVN,1996773
2003,SWE,8958232
2003,TUR,66794551
2003,USA,290107933
2004,AUS,19932722
2004,AUT,8169441
2004,BEL,10421136
2004,CAN,31940655
2004,CHE,7389626
2004,CHL,16022133
2004,COL,41188093
2004,CRI,4151823
2004,CZE,10206923
2004,DEU,82516268
2004,DNK,5401177
2004,ESP,42859172
2004,EST,1362550
2004,EU27,433611128
2004,FIN,5228173
2004,FRA,62490800
2004,G20,4277669239
2004,GBR,59950364
2004,GRC,10955142
2004,HUN,10107140
2004,IRL,4045188
2004,ISL,292077
2004,ISR,6808969
2004,ITA,57828178
2004,JPN,127687000
2004,KOR,48082519
2004,LTU,3377075
2004,LUX,458098
2004,LVA,2263123
2004,MEX,104272444
2004,NLD,16281777
2004,NOR,4591909
2004,NZL,4087500
2004,OECD,1235810451
2004,POL,38180249
2004,PRT,10483861
2004,SVK,5382574
2004,SVN,1997004
2004,SWE,8993534
2004,TUR,67598736
2004,USA,292805298
2005,AUS,20176844
2005,AUT,8225278
2005,BEL,10478620
2005,CAN,32243753
2005,CHE,7437116
2005,CHL,16183489
2005,COL,41671878
2005,CRI,4215248
2005,CZE,10234092
2005,DEU,82469421
2005,DNK,5415978
2005,ESP,43662613
2005,EST,1354775
2005,EU27,435280223
2005,FIN,5246100
2005,FRA,62958328
2005,G20,4317968527
2005,GBR,60413276
2005,GRC,10987316
2005,HUN,10087064
2005,IRL,4133839
2005,ISL,296734
2005,ISR,6930128
2005,ITA,58166684
2005,JPN,127767994
2005,KOR,48184561
2005,LTU,3322528
2005,LUX,465152
2005,LVA,2238799
2005,MEX,105669369
2005,NLD,16319871
2005,NOR,4623293
2005,NZL,4133900
2005,OECD,1244748629
2005,POL,38161313
2005,PRT,10503330
2005,SVK,5387285
2005,SVN,2001114
2005,SWE,9029567
2005,TUR,68435380
2005,USA,295516599
2006,AUS,20450966
2006,AUT,8267948
2006,BEL,10547956
2006,CAN,32571174
2006,CHE,7483935
2006,CHL,16347890
2006,COL,42170126
2006,CRI,4278656
2006,CZE,10266646
2006,DEU,82376447
2006,DNK,5434567
2006,ESP,44360521
2006,EST,1346810
2006,EU27,436689072
2006,FIN,5266266
2006,FRA,63393406
2006,G20,4358028580
2006,GBR,60827067
2006,GRC,11020366
2006,HUN,10071374
2006,IRL,4232929
2006,ISL,303784
2006,ISR,7053707
2006,ITA,58399863
2006,JPN,127900515
2006,KOR,48438292
2006,LTU,3269909
2006,LUX,472641
2006,LVA,2218351
2006,MEX,107155391
2006,NLD,16346096
2006,NOR,4660673
2006,NZL,4184600
2006,OECD,1253928808
2006,POL,38132277
2006,PRT,10522288
2006,SVK,5391184
2006,SVN,2008516
2006,SWE,9080506
2006,TUR,69295253
2006,USA,298379912
2007,AUS,20827622
2007,AUT,8295189
2007,BEL,10624835
2007,CAN,32889025
2007,CHE,7551117
2007,CHL,16517933
2007,COL,42658630
2007,CRI,4340390
2007,CZE,10322689
2007,DEU,82266373
2007,DNK,5457415
2007,ESP,45236004
2007,EST,1340680
2007,EU27,438279402
2007,FIN,5288719
2007,FRA,63781275
2007,G20,4398586000.5
2007,GBR,61319075
2007,GRC,11048466
2007,HUN,10055778
2007,IRL,4375842
2007,ISL,311567
2007,ISR,7180160
2007,ITA,58756247
2007,JPN,128032743
2007,KOR,48683638
2007,LTU,3231294
2007,LUX,479992
2007,LVA,2200325
2007,MEX,108744845
2007,NLD,16381696
2007,NOR,4709156
2007,NZL,4223800
2007,OECD,1263746034
2007,POL,38115967
2007,PRT,10542963.5
2007,SVK,5397766
2007,SVN,2019406
2007,SWE,9148093
2007,TUR,70158111.5
2007,USA,301231207
2008,AUS,21249199
2008,AUT,8321541
2008,BEL,10709108
2008,CAN,33247118
2008,CHE,7647676
2008,CHL,16697754
2008,COL,43134017
2008,CRI,4404090
2008,CZE,10429692
2008,DEU,82110097
2008,DNK,5489022
2008,ESP,45983169
2008,EST,1337090
2008,EU27,439807807
2008,FIN,5313398
2008,FRA,64133174
2008,G20,4439612931
2008,GBR,61823772
2008,GRC,11077839
2008,HUN,10038186
2008,IRL,4485070
2008,ISL,317404
2008,ISR,7331353
2008,ITA,59211183
2008,JPN,128083960
2008,KOR,49054708
2008,LTU,3198231
2008,LUX,488647
2008,LVA,2177324
2008,MEX,110405454
2008,NLD,16445590
2008,NOR,4768215
2008,NZL,4259800
2008,OECD,1273841861.5
2008,POL,38115909
2008,PRT,10558176.5
2008,SVK,5406972
2008,SVN,2022629
2008,SWE,9219639
2008,TUR,71051689
2008,USA,304093966
2009,AUS,21691653
2009,AUT,8341483
2009,BEL,10796498
2009,CAN,33628895
2009,CHE,7743832
2009,CHL,16881078
2009,COL,43608630
2009,CRI,4469337
2009,CZE,10491492
2009,DEU,81902308
2009,DNK,5519441
2009,ESP,46367550
2009,EST,1334515
2009,EU27,440920567
2009,FIN,5338867
2009,FRA,64458715
2009,G20,4480351036
2009,GBR,62260486
2009,GRC,11107017
2009,HUN,10022647
2009,IRL,4533395
2009,ISL,318501
2009,ISR,7485565
2009,ITA,59555456
2009,JPN,128031514
2009,KOR,49307835
2009,LTU,3162916
2009,LUX,497783
2009,LVA,2141668
2009,MEX,112095388
2009,NLD,16530387
2009,NOR,4828716
2009,NZL,4302600
2009,OECD,1283047768.5
2009,POL,38153389
2009,PRT,10568246.5
2009,SVK,5418374
2009,SVN,2042335
2009,SWE,9298512
2009,TUR,72039215
2009,USA,306771529
2010,AUS,22031750
2010,AUT,8361069
2010,BEL,10895591
2010,CAN,34004889
2010,CHE,7824910
2010,CHL,17063927
2010,COL,44086292
2010,CRI,4533894
2010,CZE,10517247
2010,DEU,81776936
2010,DNK,5543819
2010,ESP,46562483
2010,EST,1331475
2010,EU27,442067818.5
2010,FIN,5363341
2010,FRA,64773169
2010,G20,4521907683.5
2010,GBR,62759456
2010,GRC,11121344
2010,HUN,10000020
2010,IRL,4554763
2010,ISL,318044
2010,ISR,7623561
2010,ITA,59819402
2010,JPN,128057352
2010,KOR,49554112
2010,LTU,3097282
2010,LUX,506953
2010,LVA,2097553
2010,MEX,113748671
2010,NLD,16615390
2010,NOR,4889253
2010,NZL,4350700
2010,OECD,1292202158
2010,POL,38516689
2010,PRT,10573100
2010,SVK,5431024
2010,SVN,2049261
2010,SWE,9378131
2010,TUR,73142162
2010,USA,309327143
2011,AUS,22340024
2011,AUT,8388534
2011,BEL,10993609
2011,CAN,34339328
